COMUNA,TIPO DE ACCIDENTE,GRAVEDAD,MES,DIA SEMANA,NUMERO ACCIDENTE
Robledo,Volcamiento,HERIDO,12,MARTES   ,1
Villa Hermosa,Choque,HERIDO,04,SABADO   ,6
La America,Choque,SOLO DANOS,09,LUNES    ,22
Corregimiento de San Cristobal,Choque,HERIDO,06,SABADO   ,2
Manrique,Choque,SOLO DANOS,03,DOMINGO  ,5
Laureles Estadio,Atropello,HERIDO,10,VIERNES  ,14
Aranjuez,Otro,SOLO DANOS,08,LUNES    ,0
Robledo,Choque,HERIDO,07,SABADO   ,21
Robledo,Otro,HERIDO,01,MARTES   ,16
Villa Hermosa,Choque,SOLO DANOS,02,MIERCOLES,11
La Candelaria,Volcamiento,HERIDO,08,SABADO   ,8
Villa Hermosa,Volcamiento,HERIDO,11,VIERNES  ,2
Corregimiento de San Cristobal,Atropello,HERIDO,08,LUNES    ,0
Aranjuez,Atropello,HERIDO,12,MIERCOLES,9
Popular,Atropello,HERIDO,06,MIERCOLES,3
Aranjuez,Caida ocupante,HERIDO,10,JUEVES   ,9
San Javier,Choque,SOLO DANOS,04,DOMINGO  ,1
Aranjuez,Atropello,MUERTO,08,MARTES   ,0
La Candelaria,Choque,HERIDO,05,MIERCOLES,76
Castilla,Atropello,HERIDO,09,MIERCOLES,10
El Poblado,Volcamiento,HERIDO,12,SABADO   ,0
